Estación	Cod. Pluvio	Fecha	[mm]
Pueblo Biassini	1232	12/14/2016	0.0
Pueblo Biassini	1232	12/15/2016	0.0
Pueblo Biassini	1232	12/16/2016	0.0
Pueblo Biassini	1232	12/17/2016	0.0
Pueblo Biassini	1232	12/18/2016	5.0
Pueblo Biassini	1232	12/19/2016	0.0
Pueblo Biassini	1232	12/20/2016	0.0
Pueblo Biassini	1232	12/21/2016	0.0
Pueblo Biassini	1232	12/22/2016	10.0
Pueblo Biassini	1232	12/23/2016	4.0
Pueblo Biassini	1232	12/24/2016	0.0
Pueblo Biassini	1232	12/25/2016	15.0
Pueblo Biassini	1232	12/26/2016	10.0
Pueblo Biassini	1232	12/27/2016	13.0
Pueblo Biassini	1232	12/28/2016	0.0
Pueblo Biassini	1232	12/29/2016	0.0
Pueblo Biassini	1232	12/30/2016	0.0
Pueblo Biassini	1232	12/31/2016	0.0
Pueblo Biassini	1232	1/1/2017	0.0
Pueblo Biassini	1232	1/2/2017	0.0
Pueblo Biassini	1232	1/3/2017	75.0
Pueblo Biassini	1232	1/4/2017	
Pueblo Biassini	1232	1/5/2017	0.0
Pueblo Biassini	1232	1/6/2017	0.0
Pueblo Biassini	1232	1/7/2017	0.0
Pueblo Biassini	1232	1/8/2017	0.0
Pueblo Biassini	1232	1/9/2017	15.0
Pueblo Biassini	1232	1/10/2017	0.0
Pueblo Biassini	1232	1/11/2017	0.0
Pueblo Biassini	1232	1/12/2017	0.0
Pueblo Biassini	1232	1/13/2017	0.0
Pueblo Biassini	1232	1/14/2017	0.0
Pueblo Biassini	1232	1/15/2017	5.0
Pueblo Biassini	1232	1/16/2017	1.5
Pueblo Biassini	1232	1/17/2017	0.0
Pueblo Biassini	1232	1/18/2017	0.0
Pueblo Biassini	1232	1/19/2017	0.0
Pueblo Biassini	1232	1/20/2017	0.0
Pueblo Biassini	1232	1/21/2017	0.0
Pueblo Biassini	1232	1/22/2017	0.0
Pueblo Biassini	1232	1/23/2017	0.0
Pueblo Biassini	1232	1/24/2017	0.0
Pueblo Biassini	1232	1/25/2017	0.0
Pueblo Biassini	1232	1/26/2017	0.0
Pueblo Biassini	1232	1/27/2017	0.0
Pueblo Biassini	1232	1/28/2017	0.0
Pueblo Biassini	1232	1/29/2017	0.0
Pueblo Biassini	1232	1/30/2017	0.0
Pueblo Biassini	1232	1/31/2017	8.0
Pueblo Biassini	1232	2/1/2017	25.0
Pueblo Biassini	1232	2/2/2017	0.0
Pueblo Biassini	1232	2/3/2017	0.0
Pueblo Biassini	1232	2/4/2017	22.0
Pueblo Biassini	1232	2/5/2017	0.0
Pueblo Biassini	1232	2/6/2017	0.0
Pueblo Biassini	1232	2/7/2017	0.0
Pueblo Biassini	1232	2/8/2017	0.0
Pueblo Biassini	1232	2/9/2017	27.0
Pueblo Biassini	1232	2/10/2017	2.0
Pueblo Biassini	1232	2/11/2017	
Pueblo Biassini	1232	2/12/2017	10.0
Pueblo Biassini	1232	2/13/2017	0.0
Pueblo Biassini	1232	2/14/2017	0.0
Pueblo Biassini	1232	2/15/2017	0.0
Pueblo Biassini	1232	2/16/2017	15.0
Pueblo Biassini	1232	2/17/2017	0.0
Pueblo Biassini	1232	2/18/2017	65.0
Pueblo Biassini	1232	2/19/2017	0.0
Pueblo Biassini	1232	2/20/2017	5.0
Pueblo Biassini	1232	2/21/2017	0.0
Pueblo Biassini	1232	2/22/2017	0.0
Pueblo Biassini	1232	2/23/2017	0.0
Pueblo Biassini	1232	2/24/2017	0.0
Pueblo Biassini	1232	2/25/2017	0.0
Pueblo Biassini	1232	2/26/2017	0.0
Pueblo Biassini	1232	2/27/2017	0.0
Pueblo Biassini	1232	2/28/2017	
Pueblo Biassini	1232	3/1/2017	0.0
Pueblo Biassini	1232	3/2/2017	0.0
Pueblo Biassini	1232	3/3/2017	
Pueblo Biassini	1232	3/4/2017	0.0
Pueblo Biassini	1232	3/5/2017	0.0
Pueblo Biassini	1232	3/6/2017	0.0
Pueblo Biassini	1232	3/7/2017	0.0
Pueblo Biassini	1232	3/8/2017	0.0
Pueblo Biassini	1232	3/9/2017	65.0
Pueblo Biassini	1232	3/10/2017	0.0
Pueblo Biassini	1232	3/11/2017	7.0
Pueblo Biassini	1232	3/12/2017	0.0
Pueblo Biassini	1232	3/13/2017	0.0
Pueblo Biassini	1232	3/14/2017	0.0
Pueblo Biassini	1232	3/15/2017	30.0
Pueblo Biassini	1232	3/16/2017	0.0
Pueblo Biassini	1232	3/17/2017	0.0
Pueblo Biassini	1232	3/18/2017	0.0
Pueblo Biassini	1232	3/19/2017	0.0
Pueblo Biassini	1232	3/20/2017	0.0
Pueblo Biassini	1232	3/21/2017	0.0
Pueblo Biassini	1232	3/22/2017	0.0
Pueblo Biassini	1232	3/23/2017	0.0
Pueblo Biassini	1232	3/24/2017	0.0
Pueblo Biassini	1232	3/25/2017	0.0
Pueblo Biassini	1232	3/26/2017	0.0
Pueblo Biassini	1232	3/27/2017	0.0
Pueblo Biassini	1232	3/28/2017	0.0
Pueblo Biassini	1232	3/29/2017	0.0
Pueblo Biassini	1232	3/30/2017	0.0
Pueblo Biassini	1232	3/31/2017	0.0
Pueblo Biassini	1232	4/1/2017	0.0
Pueblo Biassini	1232	4/2/2017	0.0
Pueblo Biassini	1232	4/3/2017	0.0
Pueblo Biassini	1232	4/4/2017	2.0
Pueblo Biassini	1232	4/5/2017	0.0
Pueblo Biassini	1232	4/6/2017	0.0
Pueblo Biassini	1232	4/7/2017	0.0
Pueblo Biassini	1232	4/8/2017	15.0
Pueblo Biassini	1232	4/9/2017	55.0
Pueblo Biassini	1232	4/10/2017	7.0
Pueblo Biassini	1232	4/11/2017	0.0
Pueblo Biassini	1232	4/12/2017	0.0
Pueblo Biassini	1232	4/13/2017	0.0
Pueblo Biassini	1232	4/14/2017	0.0
Pueblo Biassini	1232	4/15/2017	0.0
Pueblo Biassini	1232	4/16/2017	0.0
Pueblo Biassini	1232	4/17/2017	0.0
Pueblo Biassini	1232	4/18/2017	25.0
Pueblo Biassini	1232	4/19/2017	60.0
Pueblo Biassini	1232	4/20/2017	0.0
Pueblo Biassini	1232	4/21/2017	0.0
Pueblo Biassini	1232	4/22/2017	0.0
Pueblo Biassini	1232	4/23/2017	0.0
Pueblo Biassini	1232	4/24/2017	0.0
Pueblo Biassini	1232	4/25/2017	24.0
Pueblo Biassini	1232	4/26/2017	0.0
Pueblo Biassini	1232	4/27/2017	0.0
Pueblo Biassini	1232	4/28/2017	0.0
Pueblo Biassini	1232	4/29/2017	0.0
Pueblo Biassini	1232	4/30/2017	0.0
Pueblo Biassini	1232	5/1/2017	0.0
Pueblo Biassini	1232	5/2/2017	0.0
Pueblo Biassini	1232	5/3/2017	0.0
Pueblo Biassini	1232	5/4/2017	0.0
Pueblo Biassini	1232	5/5/2017	0.0
Pueblo Biassini	1232	5/6/2017	0.0
Pueblo Biassini	1232	5/7/2017	30.0
Pueblo Biassini	1232	5/8/2017	27.0
Pueblo Biassini	1232	5/9/2017	0.0
Pueblo Biassini	1232	5/10/2017	0.0
Pueblo Biassini	1232	5/11/2017	5.0
Pueblo Biassini	1232	5/12/2017	72.0
Pueblo Biassini	1232	5/13/2017	8.0
Pueblo Biassini	1232	5/14/2017	0.0
Pueblo Biassini	1232	5/15/2017	0.0
Pueblo Biassini	1232	5/16/2017	0.0
Pueblo Biassini	1232	5/17/2017	0.0
Pueblo Biassini	1232	5/18/2017	22.0
Pueblo Biassini	1232	5/19/2017	1.0
Pueblo Biassini	1232	5/20/2017	0.0
Pueblo Biassini	1232	5/21/2017	0.0
Pueblo Biassini	1232	5/22/2017	0.0
Pueblo Biassini	1232	5/23/2017	4.0
Pueblo Biassini	1232	5/24/2017	25.0
Pueblo Biassini	1232	5/25/2017	50.0
Pueblo Biassini	1232	5/26/2017	0.0
Pueblo Biassini	1232	5/27/2017	0.0
Pueblo Biassini	1232	5/28/2017	4.0
Pueblo Biassini	1232	5/29/2017	0.0
Pueblo Biassini	1232	5/30/2017	0.0
Pueblo Biassini	1232	5/31/2017	0.0
